name,type,ingredients,cooktime,hints,contributor,url
boiled egg,breakfast,egg,5 mins,put eggs in boiled water and wait for 5 minutes,sys,https://thestayathomechef.com/wp-content/uploads/2014/10/How2Bto2Bboil2Beggs2B10-500x375.jpg
fry egg,lunch,egg,6 mins,fry egg in pan with oil and salt for until egg become solid,sys,https://i.stack.imgur.com/ZuAmS.jpg
milkshake,snack,milk ice_cream,10 mins,melt ice cream and add it to milk,sys,https://hips.hearstapps.com/hmg-prod/images/190523-vanilla-milkshake-015-horizontal-1559169412.png
pudding,snack,milk egg butter,20 mins, mix milk butter and eggs togher and bake it for 20mins,sys,https://www.chopstickchronicles.com/wp-content/uploads/2016/05/Purin-2-4-680x450.jpg
lemon chicken,lunch,lemon chicken,15 mins,cook,sys,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcdn-image.myrecipes.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2F4_3_horizontal_-_1200x900%2Fpublic%2F1557772834%2FMR_051019_LemonChicken158.jpg%3Fitok%3D5nC4g7Xz
salmon with bacon and mustard cream sause,dinner,butter mushroom onion salmon bacon,30 mins,cook,sys,https://www.simplyrecipes.com/wp-content/uploads/2016/01/honey-mustard-salmon-horiz-a-1600.jpg
mexican beef style wrap,dinner,onion beans avocado beef,20 mins,cook,sys,https://img.taste.com.au/4HEr2YYR/taste/2016/11/barbecue-beef-wraps-59449-1.jpeg
Tender beef stir-fry with brown rice,dinner,onion beans broccolini beef,50 mins,cook brown rice according to packet instructions and divide brown rice between plates and top with stir-fried beef,sys,https://chefjulieyoon.com/wp-content/uploads/2011/11/HamburgerStirFry-21-1024x683.jpg?x80339
Salt-Cooked Salmon,dinner,salmon,10 mins,Season the salmon with a little salt and the pepper and our the remaining salt into a large cast-iron skillet,sys,https://japan.recipetineats.com/wp-content/uploads/2018/06/Salted_Salmon_0366-500x375.jpg
Slow cooker creamy chicken carbonara,dinner,egg bacon chicken spaghetti,10 mins,Toss to combine. Sprinkle with remaining parmesan. Serve with salad leaves.,sys,https://img.taste.com.au/AUCZU2V5/taste/2016/11/creamy-chicken-carbonara-106558-1.jpegCheesy Turkey Snack Roll,Breakfast,cheese turkey,5 mins,Stack 2 turkey slices; top with one 2% Milk Singles piece. Roll up.,786632711@qq.com,https://assets.kraftfoods.com/recipe_images/opendeploy/63187_640x428.jpg
