milk,url
egg,https://base.imgix.net/files/base/ebm/wto/image/2020/07/selective_focus_photo_of_three_eggs_on_tray_600615_Photo_by_Monserrat_Soldu_from_Pexels.5f0c91011f32b.png?auto=format&dpr=2&w=720
butter,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT80rvFL1NvmQQ8LIYLaFHdOYYSZ0FP2kvQ9Q&usqp=CAU
ice_cream,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTFmvTGQA9qqIUXPklqUyQ3f7Kf7GKJOi74fA&usqp=CAU
cheese,https://www.culturesforhealth.com/learn/wp-content/uploads/2016/05/homemade-parmesan-cheese-recipe_header-300x300.jpg
yogurt,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2018/10/22/0/FNK_INSTANT-POT-YOGURT-H-s4x3.jpg.rend.hgtvcom.826.620.suffix/1540214003587.jpeg
cream,https://betterthanbreadketo.com/wp-content/uploads/2020/01/Keto-Whipped-Cream_4-scaled.webp
lettuce,https://specialtyproduce.com/sppics/588.png
mushroom,https://www.thespruceeats.com/thmb/IgO1311qn7qWmWGwtk3_qFO8TiA=/2124x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-186473156-565bc8235f9b5835e470217a.jpg
onion,https://www.foodqualityandsafety.com/wp-content/uploads/2018/08/FQU_eUpdate_0925_onions.jpg
beans,https://gbc-cdn-public-media.azureedge.net/img83268.1426x713.jpg
broccolini,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fit,w_1460,h_1825/k%2Farchive%2F9fe7642f98f85120ca3a109d5f098e616a60e3f2"
potato,http://www.isaaa.org/kc/cropbiotechupdate/files/images/1232019105233PM.jpg
carrot,https://hgtvhome.sndimg.com/content/dam/images/hgtv/fullset/2018/4/25/3/shutterstock_440493100_5-second-Studio_carrots.jpg.rend.hgtvcom.616.411.suffix/1524688181811.jpeg
garlic,https://www.thespruceeats.com/thmb/srxCn6WK_ND3k783MGTNDPQMv60=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/close-up-of-garlic-on-table-760254411-5bcbf91c4cedfd0026f2b89d.jpg
tomato,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2013/5/13/0/FN_tomatoes-thinkstock_s4x3.jpg.rend.hgtvcom.616.462.suffix/1371616351150.jpeg
ginger,https://imageresizer.static9.net.au/3woSvTlUX4TF9eP9ZH1UwZEup1w=/1274x717/smart/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2FNetwork%2FImages%2F2018%2F08%2F10%2F13%2F54%2Fgingerrootcoach.jpg
spinach,https://i.ndtvimg.com/i/2016-11/spinach_620x350_81477995047.jpg
